PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:11085	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/archives-suppressed/grinnell_11085_MODS.log	1	grinnell:archives-suppressed	islandora:sp_web_archive		https://digital.grinnell.edu/islandora/object/grinnell:11085			Prairie Journal (Compass Plant) Web Archive				This is a WARC capture of http://digital.grinnell.edu/ojs/index.php/prairiejournal from 20-Feb-2015.					Digital Grinnell OJS																69.8M	electronic resource					grinnell:11085	http://hdl.handle.net/11084/11085					99			
grinnell:17289	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/archives-suppressed/grinnell_17289_MODS.log	2	grinnell:archives-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:17289			'Retro' Grinnell Web Site				This is a WARC capture of http://retro.grinnell.edu from 03-Aug-2016.					Grinnell College													Digital Grinnell ~ host	mixed material	web site						English ~ eng	grinnell:17289	http://hdl.handle.net/11084/17289			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:19436	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/archives-suppressed/grinnell_19436_MODS.log	3	grinnell:archives-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:19436			Helen Leong '01		Leong, Helen '01 ~ creator | Riggs, Heather '12 ~ interviewer | Figa, Alenka '12 ~ transcriber | Galloway, Lily '17 ~ reviewer | McFate, Mackenzie '18 ~ reviewer	Grinnell College. Office of College and Alumni Relations. ~ supporting host	Alumni oral history interview with Helen Leong '01. Recorded June 4, 2011.	2001			June 4, 2011	Grinnell College							Grinnell College. | Alumni and alumnae. | History. | Burling Library (Grinnell, Iowa). | North Campus (Grinnell College). | South Campus (Grinnell College). | Grinnell College. Religious Studies Department. | Honor system (Higher education). | Conduct of life. | Grinnell College. Gender, Women, and Sexuality Studies.						Digital Grinnell ~ host	sound recording-nonmusical	interview	28 minutes 28 seconds		video/mpeg	born digital		English ~ eng	grinnell:19436	http://hdl.handle.net/11084/19436			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99	Leong, Helen '01	I felt the last ten years, like all of my worries, all my- everything just sort of melt away and I was just so relaxed and I think that's been my... the most remarkable thing to me about this weekend: coming back and sort of remembering that feeling of knowing that I was in a safe place, that I could walk around with a beer, as silly as it is. But I don't have to worry. I could just be myself. I could be here. I could be very much in the moment and it was OK. And that feeling returning is really nice, and it's a neat memory for me to remember that feeling of having that place for four years.	
grinnell:20699	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/archives-suppressed/grinnell_20699_MODS.log	4	grinnell:archives-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:20699			Test - PHPP Book Test	Test - Alternative Title	McFate, Mark A. ~ transcriber	Test, Bogus ~ supporting host	This is a test.	2018				Grinnell College		This is a public GENERAL NOTE with a displayLabel ~ note | This is a public CREDITS note with no displayLabel ~ credits											Digital Grinnell ~ host	text	book	Some bogus number of pages	A Book				English ~ eng	grinnell:20699	http://hdl.handle.net/11084/20699			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:26883	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/archives-suppressed/grinnell_26883_MODS.log	5	grinnell:archives-suppressed			https://digital.grinnell.edu/islandora/object/grinnell:26883			DG IMI Workflow Diagram		Mark McFate ~ illustrator		Digital.Grinnell's IMI workflow as of September 2019.	2019			2019-09-16	Grinnell College													Digital Grinnell ~ host	still image	illustration				born digital		English ~ eng	grinnell:26883	http://hdl.handle.net/11084/26883			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
