PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:11656	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_11656_MODS.log	38	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:11656			Curriculum for the Twenty-first Century: Recent Advances in Economic Theory and Undergraduate Economics		Ferguson, William D. ~ creator	Grinnell College. Economics Department. ~ supporting host	Undergraduate economics lags behind cutting-edge economic theory. The author briefly reviews six related advances that profoundly extend and deepen economic analysis: game-theoretic modeling, collective-action problems, information economics and contracting, social preference theory, conceptualizing rationality, and institutional theory. He offers suggestions for incorporating these into the undergraduate classes at various levels. He argues that game-theoretic representation of collective action problems offers a unifying framework, on par with supply and demand, for political economy. Blending in the other developments deepens our micro-level understanding of internal and external contract enforcement, with implications on nonclearing markets, power, and distribution. At the macro level, these concepts illuminate the role of institutions in economic development and long-term growth. Undergraduate curricula should incorporate these new approaches.	2011	2011-01-06		2011-01-06	University of Nebraska		Ferguson, William D. “Curriculum for the Twenty-first Century: Recent Advances in Economic Theory and Undergraduate Economics,” Journal of Economic Education 42(1), January, 2011, 31-50. DOI: 10.1080/00220485.2011.536488 ~ citation/reference					Study and teaching (Higher) | Economics				Undergraduate curriculum | Contemporary economic theory		Digital Grinnell ~ host | Faculty Scholarship ~ host | Curricular Materials ~ host	text	article, post-print	21 pages		application/pdf	born digital		English ~ eng	grinnell:11656	http://hdl.handle.net/11084/11656			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:19112	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_19112_MODS.log	39	grinnell:curricular-materials			https://digital.grinnell.edu/islandora/object/grinnell:19112			Investigations: a Handbook for Biology Courses			Grinnell College. Biology Department. ~ creator | Grinnell College. Chemistry Department. ~ supporting host	"The goal of this handbook is to communicate to students the opportunities they have in the Departments of Biology and Chemistry, as well as the expectations of their work in Grinnell College courses.
Because of the close interaction between courses required for the Biology, Chemistry and Biological Chemistry majors, we recognize the need to speak in one voice about our approaches to teaching science. While you will find many differences between courses in our departments, we hope you will recognize and learn the common skills that are fundamental to good scientific understanding and practice."	2016				Grinnell College. Biology Department.		http://www.grinnell.edu/sites/default/files/documents/Investigations_Spring%202016_Final.pdf ~ reproduction					Chemistry. | Science - Study and Teaching (Higher) | Biology.		Grinnell (Iowa)		Laboratory manuals.		Digital Grinnell ~ host | Curricular Materials ~ host	text	book					Q182.5 ~ lcc	English ~ eng	grinnell:19112	http://hdl.handle.net/11084/19112			Copyright to this work is held by the author(s), in accordance with United            States copyright law (USC 17). Readers of this work have certain rights as defined by            the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:222	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_222_MODS.log	40	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:222			Computing: Limitations and Promising Developments	Computing Tutorial, Grinnell College, Fall, 2004 | Tutorial, Fall 2004, Walker	Henry M | Walker | Walker, Henry M., 1947-	Grinnell College. Computer Science. ~ supporting host	The first year tutorial, taken in the fall semester, is Grinnell College's only general academic course requirement. The college intends the tutorial to assist students in further developing their critical thinking skills and in improving their written and oral communication skills. Each of the tutorials offered in a given fall semester is based around a particular subject matter, which provides the vehicle by which the above goals are accomplished. Uses the exploration of issues around artificial intelligence and computing in general	2004			2004-08	Grinnell College							Computers | Artificial intelligence				Tutorial.		Liberal Arts Scholarly Repository ~ host | Grinnell College. Tutorial ~ host | Curricular Materials ~ host | Digital Grinnell ~ host	text	instructional material	5 pages		application/pdf	born digital		English ~ eng	grinnell:222	http://hdl.handle.net/11084/222			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:223	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_223_MODS.log	41	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:223			Discovery-based Gauss's law		Mark B | Schneider | Schneider, Mark B. ~ creator	Grinnell College. Physics Department. ~ supporting host	The mathematical parallels between electrostatics and laminar fluid flow are exploited to develop a set of exercises that allow introductory physics students to discover Gauss’s Law. The primary fluid experiment involves investigating the continuity equation in two dimensions by examining the flow between two closely spaced plates. Extrapolation of the resulting two-dimensional velocity field to three dimensions reveals a radial dependence to the velocity field that is analogous to Coulomb’s Law. This analogy allows the student to predict an electric version of the continuity equation that is Gauss’s Law.	2004	2004-09-13		2004-10	American Association of Physics Teachers		"Schneider, Mark B. (2004) ""Discovery-based Gauss's law"". American Journal of Physics, 72, 1272. DOI:  http://dx.doi.org/10.1119/1.1773174 ~ citation/reference"					Electrostatics | Fluid dynamics | Fluids | Laminar flow | Numerical analysis | Physics | Study and teaching						Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host | Curricular Materials ~ host	text	article, pre-print	13 pages		application/pdf	born digital		English ~ eng	grinnell:223	http://hdl.handle.net/11084/223			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:224	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_224_MODS.log	42	grinnell:curricular-materials	islandora:compoundCModel		https://digital.grinnell.edu/islandora/object/grinnell:224			Computational Physics	Physics 295, Computational Physics | Computational Physics at Grinnell College	Mark B | Schneider | Schneider, Mark B.		Curricular materials for Physics 295, Computational Physics, offered in Spring, 1998 by Prof. Mark Schneider at Grinnell College	1998			1998-01	Grinnell College							Study and teaching | Mathematical physics | Physics | Data processing | Numerical calculations | Methodology		Grinnell (Iowa)		PHY 295		Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host | Curricular Materials ~ host	text	instructional material	134 pages in 15 pdf files for 14 modules			born digital		English ~ eng	grinnell:224	http://hdl.handle.net/11084/224			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:225	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_225_MODS.log	43	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:225			Primitive Skills in the Modern World	Tutorial, Fall 2003, Whittaker	John Charles | Whittaker | Whittaker, John C. ǂq (John Charles), 1953-		The first year tutorial, taken in the fall semester, is Grinnell College's only general academic course requirement. The college intends the tutorial to assist students in further developing their critical thinking skills and in improving their written and oral communication skills. Each of the tutorials offered in a given fall semester is based around a particular subject matter, which provides the vehicle by which the above goals are accomplished. Modern popular culture is seeing a revival of interest in primitive skills. Practical experience; reading and writing will be applied to the the exploration of primitive.	2003			2003-08	Grinnell College							Primitive societies | Survival				Tutorial.		Digital Grinnell ~ host | Liberal Arts Scholarly Repository ~ host | Grinnell College. Tutorial ~ host | Curricular Materials ~ host	text	instructional material	5 pages		application/pdf	born digital		English ~ eng	grinnell:225	http://hdl.handle.net/11084/225			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:226	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_226_MODS.log	44	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:226			Music in the Balance of Power	Tutorial: Music in the Balance of Power	Roger R. | Vetter | Vetter, Roger R., 1951-		The first year tutorial, taken in the fall semester, is Grinnell College's only general academic course requirement. The college intends the tutorial to assist students in further developing their critical thinking skills and in improving their written and oral communication skills. Each of the tutorials offered in a given fall semester is based around a particular subject matter, which provides the vehicle by which the above goals are accomplished.	2002			2002-08	Grinnell College							Power (Social sciences) | Music				Tutorial.		Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host | Grinnell College. Tutorial ~ host | Curricular Materials ~ host	text	instructional material	3 pages		application/pdf	born digital		English ~ eng	grinnell:226	http://hdl.handle.net/11084/226			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:316	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_316_MODS.log	45	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:316			Decline and Renewal in the Heartland	Tutorial, Fall 2003, Decline and Renewal in the Heartland	Jonathan Gary | Andelson | Andelson, Jonathan Gary, 1949-		The first year tutorial, taken in the fall semester, is Grinnell College's only general academic course requirement. The college intends the tutorial to assist students in further developing their critical thinking skills and in improving their written and oral communication skills. Each of the tutorials offered in a given fall semester is based around a particular subject matter, which provides the vehicle by which the above goals are accomplished. The arrival of European Americans in the Upper Midwest in the middle of the nineteenth century led to dramatic changes in the region's ecology. In what was perhaps the most rapid and extensive degradation of a natural ecosystem in human history, in the space of 50 years settlers plowed under millions of acres of the native tallgrass prairie and replaced it with a diversified agricultural ecosystem on what proved to be some of the best farmland in the world. As agriculture expanded, the prairie diminished.	2003			2003-08-20	Grinnell College							Agriculture | Quality of life		Iowa		Tutorial.		Liberal Arts Scholarly Repository ~ host | Grinnell College. Tutorial ~ host | Curricular Materials ~ host | Digital Grinnell ~ host	text	instructional material	6 pages		application/pdf	born digital		English ~ eng	grinnell:316	http://hdl.handle.net/11084/316			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:317	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_317_MODS.log	46	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:317			Decline and Renewal in the Heartland	Tutorial, Fall 2004, Decline and Renewal in the Heartland	Jonathan Gary | Andelson | Andelson, Jonathan Gary, 1949- ~ author	Grinnell College. Anthropology. ~ Supporting host | Grinnell College. Center for Prairie Studies ~ Supporting host	The first year tutorial, taken in the fall semester, is Grinnell College's only general academic course requirement. The college intends the tutorial to assist students in further developing their critical thinking skills and in improving their written and oral communication skills. Each of the tutorials offered in a given fall semester is based around a particular subject matter, which provides the vehicle by which the above goals are accomplished. The arrival of European Americans in the Upper Midwest in the middle of the nineteenth century led to dramatic changes in the region's ecology. In what was perhaps the most rapid and extensive degradation of a natural ecosystem in human history, in the space of 50 years settlers plowed under millions of acres of the native tallgrass prairie and replaced it with a diversified agricultural ecosystem on what proved to be some of the best farmland in the world.	2004			2004-08-23	Grinnell College							Agriculture | Quality of life		Iowa				Liberal Arts Scholarly Repository ~ host | Grinnell College. Tutorials. ~ host | Grinnell College. Syllabi. ~ host | Digital Grinnell ~ host	Syllabus		6 pages		application/pdf	born digital		English ~ eng	grinnell:317	http://hdl.handle.net/11084/317			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:3249	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/curricular-materials/grinnell_3249_MODS.log	47	grinnell:curricular-materials	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:3249			Students Build Interactive Timeline to Organize Chronological Events in Korea's Economic Development	Korea's Economic Development Timeline Assignment	"John H. | Mutti | Mutti, John ""Jack"" H. | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie | Stephanie | Peterson | Peterson, Stephanie"		This poster describes the design of an assigment to build timelines using Google sheets and Http://timeline.verite.co	2013			2013-05	Grinnell College							Aids and devices | Educational technology | Curriculum planning | Teaching		Grinnell (Iowa)	2012-2013	Faculty Fair | Assignments | Timelines		Digital Grinnell ~ host | Curricular Materials ~ host	text	poster	1 sheet		application/pdf	born digital		English ~ eng	grinnell:3249	http://hdl.handle.net/11084/3249			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
