PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:10319	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10319_MODS.log	11	grinnell:college-life	islandora:sp_large_image_cmodel		https://digital.grinnell.edu/islandora/object/grinnell:10319			Women's Glee Club at Christmastime				Women's Glee Club sings while entering dining hall for traditional Yule Log dinner at Christmastime.	1956			1956-12	Grinnell College											Women's Glee Club, Christmas, Yule Log dinner		Digital Grinnell ~ host	Photograph							English ~ eng	grinnell:10319	http://hdl.handle.net/11084/10319			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10320	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10320_MODS.log	12	grinnell:college-life	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10320			Women's Glee Club at Christmastime				Women's Glee Club sings while entering dining hall for traditional Yule Log dinner at Christmastime.	1956			1956-12	Grinnell College											Women's Glee Club, Christmas, Yule Log dinner		Digital Grinnell ~ host	Photograph							English ~ eng	grinnell:10320	http://hdl.handle.net/11084/10320			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10392	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10392_MODS.log	13	grinnell:college-life	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10392			Exploring Self-governance at Grinnell	Self-governance at Grinnell College | Self Governance at Grinnell College	Hugh | Redford | Redford, Hugh | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas | D. Douglas (Doug) | Caulkins | Caulkins, Douglas		Presentation of research done for Mentored Advanced Project (MAP)in Anthropology on self-governance at Grinnell College	2010			2010-04-28	Grinnell College							Grinnell College | College students | Conduct of life		Grinnell (Iowa)				Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host | Mentored Advanced Project ~ host | Student Scholarship ~ host	moving image	motion picture	3 Quicktime movies, 104.6Mb, 65.03Mb, 111.5Mb			born digital		English ~ eng	grinnell:10392	http://hdl.handle.net/11084/10392			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10393	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10393_MODS.log	14	grinnell:college-life	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10393			Exploring Self-governance at Grinnell	Self-governance at Grinnell College | Self Governance at Grinnell College	Hugh | Redford | Redford, Hugh ~ author | D. Douglas (Doug) | Caulkins | Caulkins, Douglas ~ advisor	Grinnell College. Anthropology. ~ Supporting host	Presentation of research done for Mentored Advanced Project (MAP)in Anthropology on self-governance at Grinnell College	2010			2010-04-28	Grinnell College							Grinnell College | Mentored Advanced Project | College students | Conduct of life		Grinnell (Iowa)				Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Video		3 Quicktime movies, 104.6Mb, 65.03Mb, 111.5Mb		video/quicktime	born digital		English ~ eng	grinnell:10393	http://hdl.handle.net/11084/10393			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10394	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10394_MODS.log	15	grinnell:college-life	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10394			Exploring Self-governance at Grinnell	Self-governance at Grinnell College | Self Governance at Grinnell College	Hugh | Redford | Redford, Hugh ~ author | D. Douglas (Doug) | Caulkins | Caulkins, Douglas ~ advisor	Grinnell College. Anthropology. ~ Supporting host	Presentation of research done for Mentored Advanced Project (MAP)in Anthropology on self-governance at Grinnell College	2010			2010-04-28	Grinnell College							Grinnell College | Mentored Advanced Project | College students | Conduct of life		Grinnell (Iowa)				Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Video		3 Quicktime movies, 104.6Mb, 65.03Mb, 111.5Mb		video/quicktime	born digital		English ~ eng	grinnell:10394	http://hdl.handle.net/11084/10394			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10395	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10395_MODS.log	16	grinnell:college-life	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10395			The Life of a Library Text: Grinnell College’s Black Library		"Phillip ""Phil"" Wiley | Jones | Jones, Phillip Wiley, 1960- ~ author | Rebecca | Stuhr | Stuhr, Rebecca ~ author | Catherine | Rod | Rod, Catherine ~ author"	Grinnell College. Libraries ~ Supporting host	The Grinnell College Libraries, Black Library was created in response to a series of events and requests in the early 1970s. A celebrarion of the 30 year anniversary of the Black Library was held in 2010	2010			2010-09-10	Grinnell College							Libraries | Special collections | Grinnell College Libraries. Black Library		Grinnell (Iowa)	20th Century | 1970 | 2010			Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Presentation							English ~ eng	grinnell:10395	http://hdl.handle.net/11084/10395			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10396	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10396_MODS.log	17	grinnell:college-life	islandora:sp_pdf		https://digital.grinnell.edu/islandora/object/grinnell:10396			The Life of a Library Text: Grinnell College’s Black Library		"Phillip ""Phil"" Wiley | Jones | Jones, Phillip Wiley, 1960- ~ author | Rebecca | Stuhr | Stuhr, Rebecca ~ author | Catherine | Rod | Rod, Catherine ~ author"	Grinnell College. Libraries ~ Supporting host	The Grinnell College Libraries, Black Library was created in response to a series of events and requests in the early 1970s. A celebrarion of the 30 year anniversary of the Black Library was held in 2010	2010			2010-09-10	Grinnell College							Libraries | Special collections | Grinnell College Libraries. Black Library		Grinnell (Iowa)	20th Century | 1970 | 2010			Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Presentation							English ~ eng	grinnell:10396	http://hdl.handle.net/11084/10396			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10397	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10397_MODS.log	18	grinnell:college-life	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10397			The Life of a Library Text: Grinnell College’s Black Library		"Phillip ""Phil"" Wiley | Jones | Jones, Phillip Wiley, 1960- ~ author | Rebecca | Stuhr | Stuhr, Rebecca ~ author | Catherine | Rod | Rod, Catherine ~ author"	Grinnell College. Libraries ~ Supporting host	The Grinnell College Libraries, Black Library was created in response to a series of events and requests in the early 1970s. A celebrarion of the 30 year anniversary of the Black Library was held in 2010	2010			2010-09-10	Grinnell College							Libraries | Special collections | Grinnell College Libraries. Black Library		Grinnell (Iowa)	20th Century | 1970 | 2010			Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Presentation							English ~ eng	grinnell:10397	http://hdl.handle.net/11084/10397			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10398	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10398_MODS.log	19	grinnell:college-life	islandora:sp_videoCModel		https://digital.grinnell.edu/islandora/object/grinnell:10398			The Life of a Library Text: Grinnell College’s Black Library		"Phillip ""Phil"" Wiley | Jones | Jones, Phillip Wiley, 1960- ~ author | Rebecca | Stuhr | Stuhr, Rebecca ~ author | Catherine | Rod | Rod, Catherine ~ author"	Grinnell College. Libraries ~ Supporting host	The Grinnell College Libraries, Black Library was created in response to a series of events and requests in the early 1970s. A celebrarion of the 30 year anniversary of the Black Library was held in 2010	2010			2010-09-10	Grinnell College							Libraries | Special collections | Grinnell College Libraries. Black Library		Grinnell (Iowa)	20th Century | 1970 | 2010			Liberal Arts Scholarly Repository ~ host | Digital Grinnell ~ host	Presentation							English ~ eng	grinnell:10398	http://hdl.handle.net/11084/10398			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10399	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10399_MODS.log	20	grinnell:college-life	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10399			Environmental Action Group Photos			Grinnell College. Environmental Action Group ~ Supporting host	Photographs from the Environmental Action Group.	1994			1994-1995 ~ Approx. Date of Creation	Grinnell College							Grinnell College Environmental Action Group | Student activities | Environmentalism		Grinnell (Iowa)				Grinnell College. Voicebox. ~ host | Digital Grinnell ~ host	Photograph		3 sheets	Paper	image/jpeg	reformated digital		English ~ eng	grinnell:10399	http://hdl.handle.net/11084/10399			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10400	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10400_MODS.log	21	grinnell:college-life	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10400			Environmental Action Group Photos			Grinnell College. Environmental Action Group ~ Supporting host	Photographs from the Environmental Action Group.	1994			1994-1995 ~ Approx. Date of Creation	Grinnell College							Grinnell College Environmental Action Group | Student activities | Environmentalism		Grinnell (Iowa)				Grinnell College. Voicebox. ~ host | Digital Grinnell ~ host	Photograph		3 sheets	Paper	image/jpeg	reformated digital		English ~ eng	grinnell:10400	http://hdl.handle.net/11084/10400			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
grinnell:10401	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/college-life/grinnell_10401_MODS.log	22	grinnell:college-life	islandora:sp_basic_image		https://digital.grinnell.edu/islandora/object/grinnell:10401			Environmental Action Group Photos			Grinnell College. Environmental Action Group ~ Supporting host	Photographs from the Environmental Action Group.	1994			1994-1995 ~ Approx. Date of Creation	Grinnell College							Grinnell College Environmental Action Group | Student activities | Environmentalism		Grinnell (Iowa)				Grinnell College. Voicebox. ~ host | Digital Grinnell ~ host	Photograph		3 sheets	Paper	image/jpeg	reformated digital		English ~ eng	grinnell:10401	http://hdl.handle.net/11084/10401			Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).		99			
