PID	WORKSPACE	Import_Index	PARENT	CMODEL	SEQUENCE	OBJ	TRANSCRPT	THUMBNAIL	Title	Alternative_Titles	Personal_Names~Roles	Corporate_Names~Roles	Abstract	Index_Date	Date_Issued	Date_Captured	Other_Date~Display_Label	Publisher	Place_Of_Publication	Public_Notes~Types	Notes~Display_Label	Dates_as_Notes~Display_Label	Citations	Table_of_Contents	LCSH_Subjects	Subjects_Names~Types	Subjects_Geographic	Subjects_Temporal	Keywords	Coordinate	Related_Items~Types	Type_of_Resource~AuthorityURI	Genre~AuthorityURI	Extent	Form~AuthorityURI	MIME_Type	Digital_Origin	Classifications~Authorities	Language_Names~Codes	Local_Identifier	Handle	Physical_Location	Shelf_Locator	Access_Condition	Import_Source	Primary_Sort	Hidden_Creator	Pull_Quotes	Private_Notes~Types
grinnell:curricular	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/scholarship/grinnell_curricular_materials_MODS.log	1	grinnell:scholarship			https://digital.grinnell.edu/islandora/object/grinnell:curricular			Syllabi and Curricular Materials																																					3			
grinnell:faculty	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/scholarship/grinnell_faculty_scholarship_MODS.log	2	grinnell:scholarship			https://digital.grinnell.edu/islandora/object/grinnell:faculty			Faculty Scholarship																																					2			
grinnell:student	/Volumes/LIBRARY/ALLSTAFF/DG-Metadata-Review-2020-r1/scholarship/grinnell_student_scholarship_MODS.log	3	grinnell:scholarship			https://digital.grinnell.edu/islandora/object/grinnell:student			Student Scholarship																																					1			
